street,land_contour,lot_config,neighborhood,condition_1,bldg_type,house_style,overall_qual,roof_style,roof_matl,exterior_1st,mas_vnr_type,mas_vnr_area,exter_qual,foundation,bsmt_qual,total_bsmt_sf,heating,heating_qc,central_air,gr_liv_area,full_bath,kitchen_qual,fireplace_qu,garage_type,garage_finish,sale_type,saleprice,house_age,age_at_remod,total_baths,garage_overall
Pave,Lvl,Inside,Edwards,Norm,1Fam,1Story,7,Gable,CompShg,VinylSd,Stone,96.0,3.0,PConc,4.0,1508.0,GasA,4.0,Y,1508,1,3.0,3.0,Attchd,2.0,Con,308030,1,0,2.0,6.0
Pave,Lvl,Inside,Mitchel,Norm,1Fam,1Story,7,Gable,CompShg,MetalSd,BrkFace,668.0,3.0,PConc,5.0,1840.0,GasA,4.0,Y,2032,3,3.0,0.0,Attchd,3.0,WD ,300000,12,11,4.0,9.0
Pave,Lvl,Corner,NAmes,Norm,1Fam,1Story,6,Hip,CompShg,BrkFace,None,0.0,2.0,CBlock,3.0,655.0,GasA,4.0,Y,1194,1,2.0,2.0,BuiltIn,3.0,WD ,159500,47,47,2.0,6.0
Pave,Lvl,Inside,Edwards,Norm,Twnhs,2Story,7,Gable,CompShg,VinylSd,Stone,50.0,3.0,PConc,4.0,970.0,GasA,4.0,Y,1709,2,3.0,0.0,Detchd,1.0,WD ,137500,2,2,2.0,6.0
Pave,Lvl,Inside,Somerst,Norm,1Fam,1Story,7,Gable,CompShg,VinylSd,BrkFace,228.0,3.0,PConc,4.0,1616.0,GasA,4.0,Y,1616,2,3.0,0.0,Attchd,2.0,WD ,232000,1,1,2.0,9.0
Grvl,Lvl,Inside,IDOTRR,RRNe,1Fam,1Story,6,Gable,CompShg,Stucco,None,0.0,3.0,BrkTil,3.0,768.0,GasA,2.0,Y,768,1,2.0,0.0,Detchd,1.0,WD ,93850,78,58,1.0,6.0
Pave,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,Gable,CompShg,BrkFace,Stone,65.0,2.0,BrkTil,3.0,872.0,GasA,1.0,N,872,1,1.0,4.0,Detchd,1.0,WD ,105000,82,56,1.0,2.0
Pave,Lvl,Inside,BrkSide,Feedr,1Fam,1Story,4,Gable,CompShg,MetalSd,None,0.0,2.0,BrkTil,3.0,520.0,GasA,1.0,N,520,1,1.0,0.0,Detchd,1.0,WD ,68500,81,58,1.0,2.0
Pave,Lvl,Corner,NAmes,Feedr,Duplex,2Story,5,Gable,CompShg,MetalSd,BrkFace,361.0,2.0,CBlock,3.0,1105.0,GasA,2.0,Y,2274,2,2.0,0.0,Detchd,1.0,WD ,154300,50,50,2.0,6.0
Pave,Lvl,Inside,IDOTRR,Artery,1Fam,1.5Fin,5,Gable,CompShg,VinylSd,None,0.0,3.0,BrkTil,3.0,936.0,GasA,4.0,Y,1601,2,2.0,0.0,NoGarage,0.0,WD ,129850,82,4,2.0,0.0
Pave,Lvl,Inside,OldTown,Norm,1Fam,2Story,5,Gable,CompShg,MetalSd,None,0.0,2.0,BrkTil,3.0,616.0,GasA,4.0,Y,1232,1,2.0,0.0,Detchd,1.0,WD ,114000,97,57,1.0,4.0
Pave,Lvl,CulDSac,StoneBr,Norm,1Fam,1Story,9,Hip,CompShg,VinylSd,Stone,748.0,4.0,PConc,5.0,2216.0,GasA,4.0,Y,2234,2,4.0,4.0,Attchd,3.0,New,501837,1,0,3.0,9.0
Pave,Lvl,Inside,OldTown,Artery,1Fam,1.5Fin,5,Gable,CompShg,Wd Sdng,None,0.0,2.0,BrkTil,3.0,876.0,GasA,3.0,Y,1416,1,2.0,4.0,Detchd,1.0,WD ,153900,93,58,2.0,9.0
Pave,Lvl,FR2,NAmes,Norm,1Fam,1Story,4,Gable,CompShg,VinylSd,None,0.0,2.0,CBlock,3.0,864.0,GasA,3.0,Y,864,1,2.0,0.0,Detchd,1.0,WD ,130000,38,3,1.0,6.0
Pave,Lvl,FR2,Mitchel,Norm,TwnhsE,1Story,6,Hip,CompShg,VinylSd,BrkFace,197.0,2.0,PConc,5.0,1189.0,GasA,4.0,Y,1189,2,2.0,0.0,Attchd,2.0,WD ,160500,11,11,3.0,6.0
Pave,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,9,Hip,CompShg,MetalSd,BrkFace,572.0,4.0,PConc,5.0,1666.0,GasA,4.0,Y,1666,2,3.0,4.0,Attchd,2.0,New,310090,0,0,3.0,6.0
Pave,Lvl,Inside,SawyerW,Norm,1Fam,1Story,7,Gable,CompShg,VinylSd,None,0.0,3.0,PConc,4.0,1176.0,GasA,4.0,Y,1200,2,3.0,0.0,Attchd,2.0,WD ,184900,6,6,3.0,6.0
Pave,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Hip,CompShg,Wd Sdng,None,0.0,2.0,CBlock,4.0,928.0,GasA,2.0,Y,928,1,2.0,0.0,Attchd,1.0,WD ,132000,51,7,1.0,3.0
Pave,Lvl,Inside,NWAmes,Feedr,1Fam,1Story,5,Gable,CompShg,HdBoard,BrkFace,128.0,2.0,CBlock,4.0,1288.0,GasA,2.0,Y,1336,2,2.0,2.0,Attchd,2.0,WD ,163000,40,40,3.0,6.0
Pave,Lvl,Inside,Somerst,Norm,TwnhsE,2Story,7,Gable,CompShg,MetalSd,BrkFace,120.0,3.0,PConc,4.0,600.0,GasA,4.0,Y,1200,2,3.0,0.0,Detchd,2.0,ConLD,155000,6,6,3.0,6.0
Pave,Lvl,Inside,NWAmes,Norm,1Fam,SLvl,6,Gable,CompShg,MetalSd,None,0.0,2.0,CBlock,3.0,1427.0,GasA,3.0,Y,1427,2,2.0,0.0,Attchd,2.0,WD ,183000,39,39,3.0,6.0
Pave,Lvl,Corner,CollgCr,Norm,1Fam,2Story,7,Gable,CompShg,VinylSd,BrkFace,254.0,3.0,PConc,4.0,860.0,GasA,4.0,Y,1992,2,3.0,3.0,Attchd,2.0,WD ,211000,11,5,4.0,6.0
Pave,Lvl,Inside,SawyerW,RRAe,1Fam,2Story,7,Gable,CompShg,VinylSd,None,0.0,3.0,PConc,4.0,754.0,GasA,4.0,Y,1540,2,3.0,0.0,Attchd,2.0,WD ,184000,15,15,4.0,6.0
Pave,Bnk,Inside,SawyerW,Norm,Duplex,1Story,5,Gable,CompShg,HdBoard,None,0.0,2.0,Slab,0.0,0.0,GasA,2.0,Y,1535,2,2.0,0.0,Attchd,1.0,WD ,118858,30,30,2.0,6.0
Pave,Lvl,Corner,NAmes,Norm,1Fam,SLvl,5,Hip,CompShg,Wd Sdng,BrkFace,86.0,2.0,PConc,3.0,1152.0,GasA,2.0,Y,1152,1,2.0,4.0,Attchd,2.0,WD ,180500,46,46,2.0,6.0
Pave,Lvl,Inside,Somerst,Norm,TwnhsE,1Story,8,Gable,CompShg,VinylSd,Stone,30.0,3.0,PConc,4.0,1141.0,GasA,4.0,Y,1151,2,3.0,0.0,Attchd,3.0,New,166000,1,0,3.0,6.0
Pave,Lvl,Inside,Sawyer,Norm,1Fam,SLvl,6,Hip,CompShg,Wd Sdng,BrkFace,54.0,2.0,CBlock,3.0,1138.0,GasA,4.0,Y,1138,1,2.0,3.0,Attchd,2.0,COD,148000,49,49,2.0,6.0
Pave,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Hip,CompShg,Wd Sdng,None,0.0,2.0,CBlock,3.0,894.0,GasA,3.0,Y,1074,1,3.0,4.0,Detchd,1.0,WD ,124000,51,51,1.0,6.0
Pave,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,9,Hip,CompShg,MetalSd,BrkFace,246.0,4.0,PConc,5.0,1561.0,GasA,4.0,Y,1561,2,4.0,4.0,Attchd,3.0,WD ,277500,2,2,3.0,6.0
Pave,Lvl,Inside,NoRidge,Norm,1Fam,2Story,8,Hip,CompShg,VinylSd,BrkFace,397.0,3.0,PConc,4.0,1342.0,GasA,4.0,Y,2726,2,3.0,5.0,Attchd,2.0,WD ,350000,11,11,3.0,9.0
Pave,HLS,CulDSac,StoneBr,Norm,1Fam,1Story,9,Hip,CompShg,VinylSd,BrkFace,296.0,4.0,PConc,5.0,1884.0,GasA,4.0,Y,1884,2,4.0,4.0,Attchd,3.0,WD ,387000,4,4,3.0,9.0
Pave,Lvl,Inside,Edwards,Norm,1Fam,1Story,4,Gable,CompShg,Wd Sdng,None,0.0,2.0,BrkTil,3.0,528.0,GasA,4.0,Y,605,1,2.0,0.0,NoGarage,0.0,WD ,86000,87,5,2.0,0.0
Pave,Lvl,Inside,Veenker,Norm,1Fam,1Story,8,Gable,CompShg,VinylSd,None,0.0,4.0,CBlock,4.0,1426.0,GasA,4.0,Y,1671,3,4.0,4.0,Attchd,2.0,WD ,290000,32,1,4.0,6.0
Pave,Lvl,Corner,IDOTRR,Norm,1Fam,1Story,3,Mansard,CompShg,AsbShng,None,0.0,2.0,CBlock,2.0,245.0,GasA,2.0,N,797,1,2.0,0.0,NoGarage,0.0,WD ,44000,109,59,1.0,0.0
Pave,Lvl,CulDSac,Mitchel,Norm,1Fam,2Story,6,Gable,CompShg,VinylSd,None,0.0,2.0,PConc,5.0,804.0,GasA,4.0,Y,1961,2,3.0,3.0,BuiltIn,3.0,WD ,215000,8,7,4.0,6.0
Pave,Lvl,Corner,NWAmes,RRAn,2fmCon,1Story,5,Gable,CompShg,Plywood,BrkFace,144.0,2.0,CBlock,4.0,1153.0,GasA,4.0,Y,1193,2,2.0,0.0,Attchd,3.0,WD ,146500,34,34,3.0,6.0
Pave,Lvl,FR2,Somerst,Norm,Twnhs,2Story,7,Gable,CompShg,MetalSd,None,0.0,3.0,PConc,4.0,673.0,GasA,4.0,Y,1382,2,3.0,0.0,Detchd,1.0,WD ,165000,6,6,4.0,6.0
Pave,Lvl,Inside,OldTown,Artery,1Fam,1.5Fin,6,Gable,CompShg,Stucco,None,0.0,2.0,BrkTil,3.0,714.0,GasW,2.0,N,2526,2,3.0,4.0,Detchd,1.0,CWD,136000,91,57,2.0,3.0
